from,to,amount
"Alistipes communis 5CBH24","GH125",1
"Alistipes communis 5CBH24","GH130",2
"Alistipes communis 5CBH24","GH133",1
"Alistipes communis 5CBH24","GH144",2
"Alistipes communis 5CBH24","GH171",1
"Alistipes communis 5CBH24","GT2",12
"Alistipes communis 5CBH24","GT3",1
"Alistipes communis 5CBH24","GT4",5
"Alistipes communis 5CBH24","GT5",1
"Alistipes communis 5CBH24","GT9",1
"Alistipes communis 5CBH24","GT19",1
"Alistipes communis 5CBH24","GT20",1
"Alistipes communis 5CBH24","GT28",1
"Alistipes communis 5CBH24","GT30",1
"Alistipes communis 5CBH24","GT35",1
"Alistipes communis 5CBH24","GT51",2
"Alistipes communis 5CBH24","CE4",1
"Alistipes communis 5CBH24","CE11",1
"Alistipes communis 5CBH24","CBM20",2
"Alistipes communis 5CBH24","CBM32",1
"Alistipes communis 5CBH24","CBM48",1
"Alistipes communis 5CBH24","CBM50",2
"Alistipes communis 5CBH24","CBM67",1
"Alistipes indistinctus 2BBH45","GH2",7
"Alistipes indistinctus 2BBH45","GH3",2
"Alistipes indistinctus 2BBH45","GH13",1
"Alistipes indistinctus 2BBH45","GH20",3
"Alistipes indistinctus 2BBH45","GH23",3
"Alistipes indistinctus 2BBH45","GH24",1
"Alistipes indistinctus 2BBH45","GH25",1
"Alistipes indistinctus 2BBH45","GH28",5
"Alistipes indistinctus 2BBH45","GH29",5
"Alistipes indistinctus 2BBH45","GH31",2
"Alistipes indistinctus 2BBH45","GH36",4
"Alistipes indistinctus 2BBH45","GH37",2
"Alistipes indistinctus 2BBH45","GH39",1
"Alistipes indistinctus 2BBH45","GH43",2
"Alistipes indistinctus 2BBH45","GH57",1
"Alistipes indistinctus 2BBH45","GH73",1
"Alistipes indistinctus 2BBH45","GH78",11
"Alistipes indistinctus 2BBH45","GH88",1
"Alistipes indistinctus 2BBH45","GH92",2
"Alistipes indistinctus 2BBH45","GH95",2
"Alistipes indistinctus 2BBH45","GH97",3
"Alistipes indistinctus 2BBH45","GH106",16
"Alistipes indistinctus 2BBH45","GH109",1
"Alistipes indistinctus 2BBH45","GH117",1
"Alistipes indistinctus 2BBH45","GH127",2
"Alistipes indistinctus 2BBH45","GH133",1
"Alistipes indistinctus 2BBH45","GH137",1
"Alistipes indistinctus 2BBH45","GH139",1
"Alistipes indistinctus 2BBH45","GH141",1
"Alistipes indistinctus 2BBH45","GH156",1
"Alistipes indistinctus 2BBH45","GH163",1
"Alistipes indistinctus 2BBH45","GH171",1
"Alistipes indistinctus 2BBH45","GH0",3
"Alistipes indistinctus 2BBH45","GT2",14
"Alistipes indistinctus 2BBH45","GT3",1
"Alistipes indistinctus 2BBH45","GT4",6
"Alistipes indistinctus 2BBH45","GT5",1
"Alistipes indistinctus 2BBH45","GT8",1
"Alistipes indistinctus 2BBH45","GT9",1
"Alistipes indistinctus 2BBH45","GT19",1
"Alistipes indistinctus 2BBH45","GT28",1
"Alistipes indistinctus 2BBH45","GT30",1
"Alistipes indistinctus 2BBH45","GT35",1
"Alistipes indistinctus 2BBH45","GT51",2
"Alistipes indistinctus 2BBH45","GT111",1
"Alistipes indistinctus 2BBH45","PL8",3
"Alistipes indistinctus 2BBH45","PL35",2
"Alistipes indistinctus 2BBH45","PL0",1
"Alistipes indistinctus 2BBH45","CE4",1
"Alistipes indistinctus 2BBH45","CE7",1
"Alistipes indistinctus 2BBH45","CE9",1
"Alistipes indistinctus 2BBH45","CE11",1
"Alistipes indistinctus 2BBH45","CE15",1
"Alistipes indistinctus 2BBH45","CBM48",1
"Alistipes indistinctus 2BBH45","CBM50",5
"Alistipes indistinctus 2BBH45","CBM67",4
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH2",9
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH3",2
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH5",3
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH13",8
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH18",9
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH20",6
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH23",2
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH24",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH26",4
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH27",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH28",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH29",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH30",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH31",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH36",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH38",4
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH43",4
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH51",2
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH57",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH63",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH73",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH76",3
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH77",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH78",4
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH92",13
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH97",5
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH106",4
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH109",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH110",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH115",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH125",2
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH127",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH130",4
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH133",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH140",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH147",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH164",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GH171",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT2",18
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT3",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT4",10
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT5",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT9",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT14",2
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT19",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT28",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT30",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT35",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT51",2
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT80",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","GT0",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","CE2",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","CE4",2
"Alistipes onderdonkii subsp. vulgaris 3BBH6","CE11",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","CE0",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","CBM20",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","CBM32",2
"Alistipes onderdonkii subsp. vulgaris 3BBH6","CBM48",1
"Alistipes onderdonkii subsp. vulgaris 3BBH6","CBM50",6
"Alistipes onderdonkii subsp. vulgaris 3BBH6","CBM51",1
